"concept_id","recommended_unit_concept_id"
3009837,8554
3009841,8810
3009859,8810
3009883,8810
3009917,8751
3009923,8554
3009927,8725
3009929,8751
3009931,8748
3009938,8525
3009963,8810
3009964,8749
3009984,8842
3009991,8923
3009992,8554
3010015,8736
3010032,8810
3010054,8810
3010084,8748
3010087,8842
3010105,8845
3010130,8980
3010140,8753
3010144,8848
3010146,9073
3010156,8751
3010157,8554
3010166,8842
3010211,8525
3010226,8554
3010227,8842
3010228,9073
3010279,8751
3010287,8554
3010293,8554
3010300,8636
3010301,8810
3010366,8751
3010370,8729
3010421,8482
3010422,8810
3010442,8842
3010484,8842
3010495,8810
3010503,8647
3010523,8736
3010528,8523
3010566,8729
3010594,8810
3010600,8910
3010623,8748
3010627,8749
3010645,8980
3010653,8810
3010737,8810
3010747,8799
3010749,8525
3010760,8554
3010793,8751
3010830,8525
3010838,8910
3010840,8749
3010866,8923
3010875,8810
3010893,8842
3010903,8751
3010910,8647
3010911,9073
3010917,8810
3010926,8554
3010989,8725
3010997,9444
3011017,44777627
3011051,9073
3011065,8554
3011072,8748
3011099,8842
3011121,8736
3011134,8810
3011136,8554
3011161,8636
3011170,8749
3011172,8980
3011197,8810
3011228,8810
3011229,8525
3011307,8980
3011324,8980
3011335,8748
3011337,8845
3011366,8810
3011367,8554
3011391,8729
3011401,44777627
3011412,8647
3011418,8525
3011429,8554
3011436,8980
3011446,8749
3011454,8554
3011461,8751
3011465,8923
3011492,8810
3011500,8736
3011504,8842
3011523,8810
3011526,8810
3011547,8554
3011553,8810
3011562,8749
3011564,8985
3011594,8749
3011605,8810
3011618,8753
3011634,8810
3011657,8906
3011679,8749
3011713,9073
3011742,8980
3011751,8810
3011777,8810
3011793,8749
3011829,8810
3011841,8810
3011897,8810
3011904,8751
3011912,8523
3011941,8751
3011951,8810
3011952,8810
3011958,8749
3011960,8725
3011962,8729
3011974,8842
3012002,8810
3012058,8906
3012060,8749
3012095,8753
3012113,8749
3012118,8810
3012127,8753
3012138,8810
3012180,8810
3012199,8810
3012218,8736
3012269,8749
3012282,8550
3012328,8749
3012336,8636
3012358,8810
3012361,8810
3012381,8799
3012403,44777627
3012438,9073
3012490,8751
3012494,8810
3012501,8753
3012516,8751
3012544,8482
3012550,8810
3012565,8587
3012601,9074
3012602,8736
3012626,8525
3012636,8909
3012642,9073
3012668,8525
3012681,8810
3012711,8810
3012779,8810
3012800,8980
3012840,8810
3012879,8842
3012885,9073
3012898,8753
3012920,8636
3012932,8810
3012974,8810
3012984,8842
3012989,8907
3013005,8749
3013020,8749
3013040,8810
3013059,8736
3013062,8748
3013068,9073
3013101,8810
3013115,9444
3013117,9073
3013166,8554
3013181,9073
3013201,8751
3013210,8810
3013226,8810
3013244,8525
3013265,8842
3013273,8842
3013290,8876
3013292,8810
3013330,9073
3013361,8810
3013412,8751
3013441,8923
3013490,8845
3013498,8554
3013502,8554
3013516,8482
3013519,9073
3013526,44777634
3013580,8842
3013598,8810
3013603,8842
3013614,8923
3013643,8736
3013688,8752
3013696,8749
3013702,8876
3013721,8923
3013731,8923
3013735,8842
3013742,8751
3013751,8842
3013766,8810
3013775,9073
3013784,8753
3013826,8753
3013836,8810
3013848,9073
3013861,8636
3013882,8810
3013888,8749
3013941,8810
3013949,8751
3013970,9073
3014018,8736
3014033,8810
3014035,8749
3014037,8554
3014039,8749
3014042,8748
3014052,8554
3014094,8753
3014111,8753
3014126,8810
3014133,8810
3014145,8810
